geometry,moreinfo,statname,dwrabbrev,wdid,usgsstatid,datasource,structtype,stattype,statstatus,variable,stage,amount,units,flag,div,wd,county,utmx,utmy,locaccuracy,latdecdeg,longdecdeg,datetime
"X: -11895527.731739, Y: 4533811.46736008, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GOOHUMCO&MTYPE=DISCHRG,GOOSE CREEK ABOVE HUMPHREYS RESERVOIR,GOOHUMCO,,GOOHUMCO,Co. Division of Water Resources,,Stream,Site d,DISCHRG,3.21,-888,CFS,M,3,20,MINERAL,336033.4,4171537,,37.676388,-106.859333,12/7/2017 10:30
"X: -11677929.1203254, Y: 4782445.88717816, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06708800,EAST PLUM CR ABV HASKINS GULCH NR CASTLE ROCK,PLUCASCO,801807,6708800,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,1.51,CFS,,1,8,DOUGLAS,508210.4,4363723.3,GPS,39.423,-104.904611,8/13/2018 11:45
"X: -11507575.9178929, Y: 4929335.73479873, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PREOUTCO&MTYPE=DISCHRG,"PREWITT RESERVOIR OUTLET NEAR MERINO, CO",PREOUTCO,6403552,,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,-0.09,0,CFS,,1,64,WASHINGTON,637887.7,4477291,,40.434847,-103.37431,8/13/2018 12:45
"X: -12006310.217929, Y: 4719481.49318183, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09143000,SURFACE CREEK NEAR CEDAREDGE,SURCEDCO,,9143000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,42.7,CFS,,4,40,DELTA,252748.3,4318955.6,User supplied,38.984703,-107.854508,8/13/2018 12:30
"X: -11735942.1947218, Y: 4501617.53653999, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=UTEFTGCO&MTYPE=DISCHRG,UTE CREEK NEAR FORT GARLAND,UTEFTGCO,,8242500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.34,4.79,CFS,,3,35,COSTILLA,462341.1,4144561.8,,37.447146,-105.425764,8/13/2018 12:15
"X: -11807259.7614067, Y: 4811676.20613138, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09050700,BLUE RIVER BELOW DILLON RESERVOIR,BLUDILCO,,9050700,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,77.5,CFS,,5,36,SUMMIT,408475.4,4386740.6,User supplied,39.625542,-106.066408,8/13/2018 12:15
"X: -11688992.11338, Y: 4831048.35477296, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLADENCO&MTYPE=DISCHRG,SOUTH PLATTE RIVER AT DENVER,PLADENCO,801811,6714000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,2.62,82.7,CFS,,1,8,DENVER,499658,4401059,,39.759456,-105.004003,8/13/2018 11:45
"X: -11727275.505396, Y: 4856986.95238333, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BOCBGRCO&MTYPE=DISCHRG,SOUTH BOULDER CREEK BELOW GROSS RESERVOIR,BOCBGRCO,603609,6729450,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.1,114,CFS,,1,6,BOULDER,470276.8,4420971.5,User supplied,39.938351,-105.347906,8/13/2018 12:15
"X: -11753576.9814973, Y: 4917501.11165841, Z: NaN",http://waterdata.usgs.gov/nwis/uv?402114105350101,"BIG THOMPSON BL MORAINE PARK NR ESTES PARK, CO.",BTBMORCO,403100,4.02114E+14,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,21.4,CFS,,1,4,LARIMER,450393.8,4467198.6,User supplied,40.353873,-105.584168,8/13/2018 12:00
"X: -12100502.5627285, Y: 4484738.05467878, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09371520,MCELMO CREEK ABOVE TRAIL CANYON NEAR CORTEZ,MCELMZCO,,9371520,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,22.6,CFS,,7,32,MONTEZUMA,172083.5,4137537.1,User supplied,37.326659,-108.700653,8/13/2018 12:30
"X: -11830847.0472504, Y: 4488538.51360707, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ALABELCO&MTYPE=DISCHRG,ALAMOSA RIVER BELOW TERRACE RESERVOIR,ALABELCO,,8236500,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.81,63.9,CFS,,3,21,CONEJOS,386788.8,4134888.3,,37.353806,-106.278305,8/13/2018 12:30
"X: -12038936.1248818, Y: 4736113.55023246, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SOCAMECO&MTYPE=DISCHRG,"SOUTHSIDE CANAL AT MESA, CO",SOCAMECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.95,17.2,CFS,,5,72,MESA,227803.1,4332674.5,,39.100746,-108.147604,8/13/2018 12:15
"X: -11724865.7280936, Y: 4868656.16099683, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06727500,"FOURMILE CREEK AT ORODELL, CO.",FOUOROCO,603606,6727500,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,0.63,CFS,,1,6,BOULDER,472158.9,4429880,User supplied,40.018667,-105.32625,8/13/2018 12:35
"X: -11656499.0980581, Y: 4530207.26825588, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MEXDITCO&MTYPE=DISCHRG,MEXICAN DITCH,MEXDITCO,,MEXDITCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.04,0,CFS,,2,16,HUERFANO,525396,4167106,,37.650764,-104.712113,8/13/2018 12:30
"X: -11726056.1223501, Y: 4812778.2598428, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06710385,BEAR CREEK ABOVE EVERGREEN,BCREVRCO,902961,6710385,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,6.67,CFS,,1,9,JEFFERSON,471085.2,4387097.8,User supplied,39.633167,-105.336944,8/13/2018 12:00
"X: -11780665.5185273, Y: 4777958.53588457, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=OHGJEFCO&MTYPE=DISCHRG,OHLER GULCH NEAR JEFFERSON,OHGJEFCO,2302910,,City of Aurora  (Station cooperator),Stream Gage,Stream,Active,DISCHRG,0.05,0,CFS,,1,23,PARK,428741,4360589,User supplied,39.39186,-105.827519,8/13/2018 12:30
"X: -11808056.0169984, Y: 4436630.86931108, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LOSORTCO&MTYPE=DISCHRG,LOS PINOS RIVER NEAR ORTIZ,LOSORTCO,,8248000,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.2,8.72,CFS,,3,22,,404454.9,4093439.5,User supplied,36.982229,-106.073562,8/13/2018 12:15
"X: -11495305.4476363, Y: 4976772.84035856, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NSTINLCO&MTYPE=DISCHRG,NORTH STERLING INLET AT RESERVOIR,NSTINLCO,6403551,,"Cooperative Program of CDWR, NCWCD & LSPWCD",Reservoir,Stream,Active,DISCHRG,,0,CFS,,1,64,LOGAN,646529,4513388,,40.758407,-103.264076,8/13/2018 12:00
"X: -11807816.294091, Y: 4776369.65520837, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09041900,"MONTE CRISTO DIVERSION NEAR HOOSIER PASS, CO.",MONTDOCO,,9041900,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0.01,CFS,,5,36,SUMMIT,407723.2,4359585.6,User supplied,39.380822,-106.071408,8/13/2018 12:00
"X: -11796807.7115608, Y: 4807180.85623091, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09047700,"KEYSTONE GULCH NEAR DILLON, CO.",KEYGUDCO,,9047700,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,3.37,CFS,,5,36,SUMMIT,416496.5,4383196.3,User supplied,39.594431,-105.972516,8/13/2018 12:15
"X: -11571036.6734812, Y: 4597237.28071679, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARKCATCO&MTYPE=DISCHRG,ARKANSAS RIVER AT CATLIN DAM NEAR FOWLER,ARKCATCO,,7119700,Co. Division of Water Resources,,Stream,Active,DISCHRG,10.41,108,CFS,,2,17,OTERO,592523,4220318,,38.124293,-103.912049,8/13/2018 12:30
"X: -11865631.391767, Y: 4755943.94468715, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRYSFUCO&MTYPE=DISCHRG,SOUTH FORK FRYINGPAN RIVER AT UPPER  STATION NEAR NORRIE,FRYSFUCO,,9077800,Bureau of Reclamation  (Station cooperator),,Stream,Active,DISCHRG,1.89,5.68,CFS,,5,38,PITKIN,362713.2,4344488.5,User supplied,39.238854,-106.590783,8/13/2018 12:45
"X: -11784628.576441, Y: 4786294.86759691, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=JEFBELCO&MTYPE=DISCHRG,"JEFFERSON CREEK BELOW JEFFERSON LAKE NEAR JEFFERSON, CO",JEFBELCO,2302930,JEFBELCO,City of Aurora  (Station cooperator),Stream Gage,Stream,Active,DISCHRG,0.18,1.07,CFS,,1,23,PARK,425736.7,4367038,,39.44971,-105.863116,8/13/2018 12:00
"X: -11919871.2554366, Y: 4814432.52169924, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09070500,COLORADO RIVER NEAR DOTSERO,COLDOTCO,,9070500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,1730,CFS,,5,53,EAGLE,321697.8,4390377.1,User supplied,39.64461,-107.078015,8/13/2018 12:00
"X: -11729003.8663935, Y: 4897331.82909787, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NSVBBRCO&MTYPE=DISCHRG,NORTH SAINT VRAIN CREEK BELOW BUTTONROCK  (RALPH PRICE) RESERVOIR,NSVBBRCO,503204,NSVBBRCO,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,0.46,32.1,CFS,,1,5,BOULDER,469076,4451757,,40.215658,-105.363422,8/13/2018 12:45
"X: -11674382.7074291, Y: 4704059.81348973, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07103703,CAMP CREEK AT GARDEN OF THE GODS,CAMPGOCO,,7103703,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,2,10,EL PASO,511037.5,4303127.8,User supplied,38.876936,-104.872754,8/13/2018 11:45
"X: -11971979.5031628, Y: 4615965.18774115, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09126000,CIMARRON RIVER NEAR CIMARRON,CIMCIMCO,,9126000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,87,CFS,,4,62,GUNNISON,277227,4237528.8,User supplied,38.258194,-107.546111,8/13/2018 12:15
"X: -11839202.9602294, Y: 4778369.95651423, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WUREXTCO&MTYPE=DISCHRG,WURTZ EXTENSION,WUREXTCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.33,0,CFS,,2,11,EAGLE,383462,4361453,,39.39471,-106.353361,8/13/2018 12:45
"X: -11951076.160165, Y: 4712683.76800362, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09132095,"ANTHRACITE CREEK ABOVE MOUTH NEAR SOMERSET, CO",ANTABMCO,,9132095,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,30.5,CFS,,4,40,GUNNISON,295595.2,4312454.5,,38.93722,-107.358333,8/13/2018 12:30
"X: -11872125.4139539, Y: 4531443.96230859, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOSFKCO&MTYPE=DISCHRG,SOUTH FORK RIO GRANDE RIVER AT SOUTH FORK,RIOSFKCO,,8219500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.36,35.9,CFS,,3,20,RIO GRANDE,354540.9,4169322,,37.659559,-106.649116,8/13/2018 12:15
"X: -11887474.906548, Y: 4935207.65909531, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09238900,FISH CREEK AT UPPER STATION NEAR STEAMBOAT SPRINGS,FISCRECO,,9238900,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,4.44,CFS,,6,58,ROUTT,348521,4482010.9,User supplied,40.474978,-106.786993,8/13/2018 11:45
"X: -11642974.0806578, Y: 4615618.39070885, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FOUMOUCO&MTYPE=DISCHRG,FOUNTAIN CREEK AT MOUTH PUEBLO,FOUMOUCO,,,City of Colorado Springs  (Station cooperator),,Stream,Active,DISCHRG,1.02,108,CFS,,2,10,PUEBLO,535818.6,4234270.5,User supplied,38.255748,-104.590611,8/13/2018 12:30
"X: -12085443.9380933, Y: 4892090.02172002, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09306290,WHITE RIVER BELOW BOISE CREEK NEAR RANGELY,WHIBOICO,,9306290,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,91.1,CFS,,6,43,RIO BLANCO,196426.4,4453799.9,User supplied,40.179693,-108.565378,8/13/2018 11:45
"X: -11742599.2080277, Y: 4920788.35320434, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BTBLESCO&MTYPE=DISCHRG,BIG THOMPSON RIVER BELOW LAKE ESTES,BTBLESCO,403107,6735500,NCWCD/Bureau of Reclamation (Station Cooperators),Stream Gage,Stream,Active,DISCHRG,0.95,51.5,CFS,,1,4,LARIMER,458781.7,4469645.4,User supplied,40.376373,-105.485553,8/13/2018 12:00
"X: -11677590.6606216, Y: 4730122.70495824, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=UPBVCRCO&MTYPE=DISCHRG,"UPPER BEAVER CREEK NEAR MONUMENT, CO",UPBVCRCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.12,0.15,CFS,,2,10,EL PASO,508516,4323325,,39.05919,-104.952481,8/13/2018 12:30
"X: -11995425.4742198, Y: 4647867.74811963, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SOUCANCO&MTYPE=DISCHRG,SOUTH CANAL NEAR MONTROSE,SOUCANCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,4.66,1020,CFS,,4,41,MONTROSE,259541,4262995,User supplied,38.482886,-107.75674,8/13/2018 12:30
"X: -11533880.8293978, Y: 4590073.26181566, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HOLINFCO&MTYPE=DISCHRG,HOLBROOK RESERVOIR INFLOW,HOLINFCO,,HOLINFCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0,0.65,CFS,,2,17,OTERO,621863.2,4215084,,38.075326,-103.610605,8/13/2018 12:30
"X: -11568349.111616, Y: 4498399.28558296, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07126325,"TAYLOR ARROYO BL ROCK CROSSING, NR THATCHER, CO.",TAYBROCO,,7126325,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,2,19,LAS ANIMAS,595538.1,4142477.1,User supplied,37.424183,-103.920238,8/13/2018 12:00
"X: -11441851.4032035, Y: 4613071.86945195, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARF201CO&MTYPE=DISCHRG,"ARF HEADGATE 201E (WILEY DRAIN, WEST)",ARF201CO,,ARF201CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.17,0,CFS,,2,67,BENT,693950,4234520,,,,8/13/2018 12:45
"X: -11894276.6882705, Y: 4673719.17761248, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09112500,EAST RIVER AT ALMONT,EASALMCO,,9112500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,57.7,CFS,,4,59,GUNNISON,339210.9,4281160.2,User supplied,38.664437,-106.848095,8/13/2018 12:15
"X: -11753258.5732789, Y: 4913576.15349659, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WINDESCO&MTYPE=DISCHRG,WIND RIVER NEAR ESTES PARK,WINDESCO,403114,,NCWCD/Bureau of Reclamation (Station Cooperators),Stream Gage,Stream,Active,DISCHRG,0.14,0.72,CFS,,1,4,LARIMER,450617.1,4464214,User supplied,40.327005,-105.581319,8/13/2018 12:00
"X: -11683193.5819527, Y: 4758907.79072244, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06708600,"WEST PLUM CREEK NEAR PERRY PARK, CO",WESPERCO,802904,6708600,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,0.84,CFS,,1,8,DOUGLAS,504149.5,4345572,,39.259472,-104.951903,8/13/2018 12:30
"X: -12040911.0556833, Y: 4448489.39784805, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GOVDRACO&MTYPE=DISCHRG,"GOVERNMENT DRAW ABOVE LONG HOLLOW RESERVOIR NEAR RED MESA, CO",GOVDRACO,,GOVDRACO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.38,1.86,CFS,,7,33,LA PLATA,218569.9,4107024.2,,37.067278,-108.165334,8/13/2018 12:15
"X: -11793162.7847278, Y: 4887167.479935, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09021000,WILLOW CREEK BELOW WILLOW CREEK RESERVOIR,WILWCRCO,,9021000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,44,CFS,,5,51,GRAND,419951.6,4444374,,40.145905,-105.939779,8/13/2018 11:45
"X: -11693006.9306673, Y: 4840771.1282902, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06719840,"LITTLE DRY CREEK AT WESTMINSTER, CO",LDCWESCO,702349,6719840,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,3.8,CFS,,1,7,ADAMS,496572,4408508,,39.826559,-105.040058,8/13/2018 11:50
"X: -11665771.6743723, Y: 4694243.02025509, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SPRAUGCO&MTYPE=DISCHRG,"SPRING CREEK AUG STATION NEAR COLORADO SPRINGS, CO",SPRAUGCO,1000968,,Co. Division of Water Resources,Measuring Point,Stream,Active,DISCHRG,0.72,7.17,CFS,,2,10,EL PASO,517764.4,4295518.1,,38.80825,-104.7954,8/13/2018 12:00
"X: -12042877.4876108, Y: 4445500.88597638, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAPLONCO&MTYPE=DISCHRG,"LA PLATA RIVER BELOW MOUTH LONG HOLLOW NEAR RED MESA, CO",LAPLONCO,,LAPLONCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.64,4.36,CFS,,7,33,LA PLATA,216919.2,4104699,,37.045859,-108.183011,8/13/2018 12:15
"X: -11909010.5372128, Y: 4751643.28579037, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SNOCRECO&MTYPE=DISCHRG,SNOWMASS CREEK,SNOCRECO,,9077000,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.78,22,CFS,,5,38,PITKIN,329007.8,4341830,User supplied,39.20893,-106.98046,8/13/2018 12:45
"X: -12069741.6179636, Y: 4946048.42444707, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09260000,LITTLE SNAKE RIVER NEAR LILY,LSRLILCO,,9260000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,4.15,CFS,,6,55,MOFFAT,210028.2,4494332.4,User supplied,40.549017,-108.424322,8/13/2018 12:15
"X: -11936511.9957541, Y: 4755050.90941215, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09081600,CRYSTAL RIVER ABOVE AVALANCHE CREEK NEAR REDSTONE,CRYAVACO,,9081600,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,58.5,CFS,,5,38,PITKIN,307740.2,4344957.6,User supplied,39.232639,-107.2275,8/13/2018 12:00
"X: -11719686.1635636, Y: 4421737.06666047, Z: NaN",http://waterdata.usgs.gov/nwis/uv?08253900,"COSTILLA RESERVOIR NEAR COSTILLA, NM.",COSRESNM,,8253900,U.S. Geological Survey (Data Provider),,Stream,Active,ELEV,,65.83,CFS,,3,99,,475070.8,4081073.1,User supplied,36.875277,-105.279722,8/13/2018 12:30
"X: -12058018.7301223, Y: 4738717.88360034, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ORCHIDCO&MTYPE=DISCHRG,ORCHARD MESA IRRIGATION DISTRICT ABOVE PALISADE,ORCHIDCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,8.33,666,CFS,,5,72,MESA,213049.3,4335218,User supplied,39.118904,-108.319029,8/13/2018 12:15
"X: -11845243.8084213, Y: 4730702.47533645, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAKATLCO&MTYPE=DISCHRG,LAKE CREEK ABOVE TWIN LAKES RESERVOIR,LAKATLCO,,7084500,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.05,23.9,CFS,,2,11,LAKE,378216.9,4324712,User supplied,39.063019,-106.407634,8/13/2018 12:30
"X: -11734022.8953204, Y: 4455087.76783299, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=VENSANCO&MTYPE=DISCHRG,VENTERO CREEK BELOW SANCHEZ RESERVOIR,VENSANCO,,VENSANCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.12,43.9,CFS,,3,24,COSTILLA,463706.8,4107659,,37.114565,-105.408519,8/13/2018 12:45
"X: -11871847.5459475, Y: 4531690.29032791, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOSF2CO&MTYPE=Q2,SOUTH FORK OF THE RIO GRANDE RIVER,RIOSF2CO,,RIOSF2CO,Co. Division of Water Resources,,Stream,Active,Q2,,38.5,CFS,,3,20,RIO GRANDE,354764.5,4169512.5,,,,8/13/2018 12:00
"X: -11775965.3795144, Y: 4854363.07401325, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09025000,"VASQUEZ CREEK AT WINTER PARK, CO.",VASWINCO,,9025000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,5.64,CFS,,5,51,GRAND,432889.9,4419202.6,User supplied,39.920265,-105.785286,8/13/2018 11:45
"X: -11717541.7888055, Y: 4424740.36570178, Z: NaN",http://waterdata.usgs.gov/nwis/uv?08253000,"CASIAS CREEK NEAR COSTILLA, NM",CASCOSNM,,8253000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,2.06,CFS,,3,99,,476794.1,4083462,User supplied,36.896856,-105.260458,8/13/2018 12:30
"X: -12009048.913229, Y: 4553724.33061527, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09171240,"LAKE FORK SAN MIGUEL RV ABV TROUT LAKE NEAR OPHIR, CO",LFSANOCO,,9171240,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,4.84,CFS,,4,60,SAN MIGUEL,246571,4189509.5,,37.817833,-107.879111,8/13/2018 12:15
"X: -12007177.0537833, Y: 4870824.83209235, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09304500,WHITE RIVER NEAR MEEKER,WHIMEECO,,9304500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,84.1,CFS,,6,43,RIO BLANCO,255777.3,4435410.5,User supplied,40.033585,-107.862295,8/13/2018 12:00
"X: -11711522.5054316, Y: 4903511.78673077, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LTCANYCO&MTYPE=DISCHRG,LITTLE THOMPSON RIVER AT CANYON MOUTH NEAR BERTHOUD,LTCANYCO,403111,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.08,0.73,CFS,,1,4,BOULDER,482449.4,4456418,User supplied,40.258038,-105.206386,8/13/2018 12:30
"X: -11753528.8785757, Y: 4637314.01337127, Z: NaN",http://www.uawcd.com/dcs_siteinfo.php#7C,TEXAS CREEK NEAR TEXAS CREEK,TCCKTCCO,,7C,Upper Arkansas Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,,0.72,CFS,,2,13,FREMONT,449035,4251316,,38.408628,-105.583736,8/13/2018 11:00
"X: -11787811.4525986, Y: 4781495.10305487, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRNCRKCO&MTYPE=DISCHRG,FRENCH CREEK ABOVE CONFLUENCE WITH MICHIGAN CREEK,FRNCRKCO,2302914,,City of Aurora  (Station cooperator),Stream Gage,Stream,No gag,DISCHRG,0.74,3.17,CFS,,1,23,PARK,423240,4363366,User supplied,39.416407,-105.891712,7/31/2018 10:45
"X: -12008029.624836, Y: 4447040.6118688, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FLOBONCO&MTYPE=DISCHRG,FLORIDA RIVER AT BONDAD,FLOBONCO,,9363200,Co. Division of Water Resources,,Stream,Active,DISCHRG,3.03,13.1,CFS,,7,30,LA PLATA,244803.6,4105037,,37.056898,-107.869961,8/13/2018 12:15
"X: -11717322.4457988, Y: 4640877.26409807, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARKCANCO&MTYPE=DISCHRG,ARKANSAS RIVER AT CANON CITY,ARKCANCO,,7096000,Co. Division of Water Resources,,Stream,Active,DISCHRG,5.32,269,CFS,,2,12,FREMONT,477439.7,4253969,,38.433712,-105.258495,8/13/2018 12:15
"X: -11439782.2936735, Y: 4612643.88670256, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=AR205ECO&MTYPE=DISCHRG,ARF HEADGATE 205 (WILEY DRAIN EAST OUTLET),AR205ECO,,AR205ECO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.08,0.16,CFS,,2,67,BENT,695585,4234224,,,,8/13/2018 12:45
"X: -11408445.7671639, Y: 4595568.44163124, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07134100,BIG SANDY CREEK NEAR LAMAR,BIGLAMCO,,7134100,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,24.1,CFS,,2,67,PROWERS,720589.5,4221473.9,User supplied,38.114176,-102.483802,8/13/2018 11:45
"X: -11683907.1070915, Y: 4838691.18134263, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06714215,"SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.",PLASIXCO,201750,6714215,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,34.1,CFS,,1,2,ADAMS,503568.1,4406915.3,User supplied,39.812208,-104.958313,8/13/2018 12:30
"X: -11747820.6989751, Y: 4437578.27489995, Z: NaN",http://waterdata.usgs.gov/nwis/uv?08261000,"COSTILLA CREEK NEAR GARCIA, CO.",COSGARCO,,8261000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,3,24,,452616.9,4093787.6,User supplied,36.989028,-105.532458,8/13/2018 12:15
